id,title,price,brand,list,availability,code,size,os,model_cpu,freq,ram_size,hard_typee,storage,videocard,videocard_type,videocard_mem,code2
s89,"Ноутбук Apple MacBook Pro 13"" i5 2.3/8/128Gb Space Gray (MPXQ2)",499990,Apple,Ноутбуки,Нет в наличии,69502,"13″ - 33,02 см",MacOS X,Intel® Core™ i5-5257U,2.3 ГГц,8 ГБ,HDD,128 ГБ,Iris Graphics,640,SMA (выделяется из операт. памяти),(MPXQ2)
s90,Ноутбук Lenovo Legion Y540-15IRH-PG0 Black 81SY00ERRK,339990,Lenovo,Ноутбуки,Нет в наличии,392611,"15,6″ - 39,62 см",DOS,Intel® Core™ i5-9300H,2.4 ГГц,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ,
s91,Ноутбук Acer Aspire 3 A315-55 (NX.HEHER.01G),259990,Acer,Ноутбуки,Нет в наличии,427033,"15,6″ - 39,62 см",Windows 10,‎Intel® Core™ i3-7020U,2.3 ГГц,4 ГБ,HDD,1 ТБ,GeForce MX,130,2 ГБ,(NX.HEHER.01G)
s92,Ноутбук Acer Extensa 15 EX215-51K 50BY (NX.EFPER.019),299990,Acer,Ноутбуки,Нет в наличии,452822,"15,6″ - 39,62 см",Windows 10,Intel® Core™ i5-6300U,2.4 ГГц,8 ГБ,SSD,512 ГБ,,,,(NX.EFPER.019)
s93,Ноутбук Asus Laptop X507M 90NB0HL1-M05410,169990,Asus,Ноутбуки,Нет в наличии,456810,"14″ - 35,56 см",Windows 10 Home,Intel® Celeron® N4000,1.10 ГГц,4 ГБ,HDD,500 Гб,Intel UHD Graphics,,,
s94,Ноутбук Asus Laptop 15 X509JB-EJ060T (90NB0QD1-M01540),269990,Asus,Ноутбуки,Нет в наличии,442637,"15,6″ - 39,62 см",Windows 10,Intel® Core™ i3 1005G1,1.2 ГГц,4 ГБ,HDD,1 ТБ,GeForce MX,110,2 ГБ,(90NB0QD1-M01540)
s95,Ноутбук Lenovo Ideapad S145 (81N300DXRK),119990,Lenovo,Ноутбуки,Нет в наличии,456850,"15,6″ - 39,62 см",DOS,AMD A6-9225,2.6 ГГц,4 ГБ,HDD,500 Гб,Radeon R4,UMA,,(81N300DXRK)
s96,Ноутбук Acer Nitro 5 AN515-43 NH.Q5XER.004,239990,Acer,Ноутбуки,Нет в наличии,427026,,DOS,AMD Ryzen 5 3550H,2.1 ГГц,8 ГБ,SSD,512 ГБ,Radeon RX,560X,4 ГБ,(NH.Q5XER.004)
s97,Ноутбук Asus Laptop 15 X509M (90NB0Q32-M00620),199990,Asus,Ноутбуки,Нет в наличии,463040,"15,6″ - 39,62 см",Windows 10,Intel® Pentium® N5000,1.1 ГГц,4 ГБ,HDD,500 Гб,Intel UHD Graphics,605,,(90NB0Q32-M00620)
s98,Ноутбук Acer Nitro 5 AN515-54 (NH.Q5AER.01P),309990,Acer,Ноутбуки,Нет в наличии,415803,"15,6″ - 39,62 см",Linux,Intel® Core™ i5-9300H,2.4 ГГц,8 ГБ,SSD,512 ГБ,GeForce GTX,1050,3 ГБ,(NH.Q5AER.01P)
s99,"Ноутбук Hewlett Packard HP-255 G7, A445UN, 6HM04EA",95090,HP,Ноутбуки,Нет в наличии,443488,"15,6″ - 39,62 см",DOS,AMD A4-9125,2.3 ГГц,4 ГБ,HDD,500 Гб,Radeon R3,,,
s100,Ноутбук Acer Aspire 3 A315-55G-58MV (NX.HEDER.021),279990,Acer,Ноутбуки,Нет в наличии,393473,"15,6″ - 39,62 см",Windows 10,Intel® Core™ i5-8265U,1.6 ГГц,8 ГБ,HDD,1 ТБ,GeForce MX,MX130,2 ГБ,(NX.HEDER.021)
s101,"Ноутбук Acer Extensa, EX2519-P07G, (NX.EFAER.059) ",139990,Acer,Ноутбуки,Нет в наличии,433317,"15,6″ - 39,62 см",Linux,Intel® Pentium® N3710,1.6 ГГц,4 ГБ,HDD,1 ТБ,Intel HD Graphics,405,SMA (выделяется из операт. памяти),(NX.EFAER.059) 
