Планшет Apple iPad Pro 12.9″ (2018) 64GB Wi-Fi (MTEM2) Silver,529990,Apple,390380,Планшеты,"12,9″ - 32,77 см",64 Гб,4 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad Pro 12.9″ (2020) 1TB Wi‑Fi + Cellular (MXF92) Space Grey,945990,Apple,460012,Планшеты,"12,9″ - 32,77 см",1 Тб,6 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad Air 10.5″ (2019) 256GB WI-FI + Cellular (MV0N2) Space Gray ,379990,Apple,298078,Планшеты,"10,5″ - 26,67 см",256 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,7 Mpx
Планшет Apple iPad 10.2″ (2020) 128GB Wi-Fi (MYLF2) Gold,245990,Apple,471894,Планшеты,"10,2″ - 25,9 см",128 Гб,3 ГБ,только Wi-Fi,8 Mpx,"1,2 Mpx"
Планшет Apple iPad Pro 12.9″ (2020) 512GB Wi‑Fi + Cellular (MXF82) Silver ,830990,Apple,460011,Планшеты,"12,9″ - 32,77 см",512 Гб,6 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Samsung Galaxy Tab S7 11″ 128GB (SM-T875) Bronze,359890,Samsung,469003,Планшеты,"11″ - 27,94 см",128 Гб,6 ГБ,Wi-Fi + 4G,13+5 Mpx,8 Mpx
"Планшет Huawei MatePad 10.4"" 4/64GB (BAH3-L09) Black",139990,Huawei,471884,Планшеты,"10,4″ - 26.31 см",64 Гб,4 ГБ,Wi-Fi + 4G,8 Mpx,8 Mpx
Планшет Apple iPad 10.2″ (2020) 128GB Wi-Fi + Cellular (MYML2) Space Grey ,320990,Apple,471898,Планшеты,"10,2″ - 25,9 см",128 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,"1,2 Mpx"
Планшет Apple iPad Pro 11″ (2020) 512GB Wi‑Fi + Cellular (MXE62) Space Grey ,716990,Apple,459999,Планшеты,"11″ - 27,94 см",512 Гб,6 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Prestigio Wize PMT4117 3G C,24890,Prestigio,469659,Планшеты,"7″ - 17,8 см",8 Гб,1 ГБ,Wi-Fi + 3G,2 Mpx,"0,3 Mpx"
Планшет Apple iPad Pro 12.9″ (2018) 64GB Wi-Fi + Cellular (MTHJ2) Space Grey,519790,Apple,88237,Планшеты,"12,9″ - 32,77 см",64 Гб,4 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2020) 1TB Wi‑Fi + Cellular (MXE82) Space Grey,830990,Apple,460001,Планшеты,"11″ - 27,94 см",1 Тб,6 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad Pro 12.9″ (2018) 256GB Wi-Fi + Cellular (MTHV2) Space Grey,599990,Apple,88238,Планшеты,"12,9″ - 32,77 см",256 Гб,4 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad 10.2″ (2020) 32GB Wi-Fi + Cellular (MYMH2) Space Grey ,262990,Apple,471895,Планшеты,"10,2″ - 25,9 см",32 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,"1,2 Mpx"
Планшет Apple iPad 10.2″ (2020) 32GB Wi-Fi (MYLC2) Gold,188990,Apple,471891,Планшеты,"10,2″ - 25,9 см",32 Гб,3 ГБ,только Wi-Fi,8 Mpx,"1,2 Mpx"
Планшет Apple iPad Pro 12.9″ (2020) 128GB Wi‑Fi + Cellular (MY3D2) Silver ,658990,Apple,459959,Планшеты,"12,9″ - 32,77 см",128 Гб,6 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad 10.2″ (2020) 32GB Wi-Fi (MYLA2) Silver,188990,Apple,471890,Планшеты,"10,2″ - 25,9 см",32 Гб,3 ГБ,только Wi-Fi,8 Mpx,"1,2 Mpx"
Планшет Apple iPad Pro 11″ (2020) 128GB Wi‑Fi + Cellular (MY2W2) Silver ,543990,Apple,459996,Планшеты,"11″ - 27,94 см",128 Гб,6 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad Pro 12.9″ (2020) 512GB Wi‑Fi + Cellular (MXF72) Space Grey,830990,Apple,460010,Планшеты,"12,9″ - 32,77 см",512 Гб,6 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad 10.2″ (2020) 128GB Wi-Fi (MYLE2) Silver ,245990,Apple,471893,Планшеты,"10,2″ - 25,9 см",128 Гб,3 ГБ,только Wi-Fi,8 Mpx,"1,2 Mpx"
Планшет Apple iPad mini 5 256GB WI-FI + Cellular (MUXC2) Space Gray ,393790,Apple,298090,Планшеты,"7,9″ - 20,1 см",256 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2018) 1TB Wi-Fi + Cellular (MU1V2) Space Grey,739990,Apple,88231,Планшеты,"11″ - 27,94 см",1 Тб,4 ГБ,Wi-Fi + 4G,12 Mpx,7 Mpx
Планшет Apple iPad Pro 12.9″ (2020) 512GB Wi‑Fi (MXAV2) Space Grey,744990,Apple,460005,Планшеты,"12,9″ - 32,77 см",512 Гб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad mini 5 256GB WI-FI + Cellular (MUXD2) Silver ,398990,Apple,298091,Планшеты,"7,9″ - 20,1 см",256 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,7 Mpx
Планшет Apple iPad Air 10.5″ (2019) 256GB WI-FI + Cellular (MV0P2) Silver ,379990,Apple,298079,Планшеты,"10,5″ - 26,67 см",256 Гб,3 ГБ,Wi-Fi + 4G,8 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2020) 512GB Wi‑Fi (MXDE2) Space Grey,630990,Apple,459993,Планшеты,"11″ - 27,94 см",512 Гб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad Pro 11″ (2020) 1TB Wi‑Fi (MXDG2) Space Grey,744990,Apple,459995,Планшеты,"11″ - 27,94 см",1 Тб,6 ГБ,только Wi-Fi,12 Mpx,7 Mpx
Планшет Apple iPad Pro 12.9″ 64GB Wi-Fi Demo (3D941) Space Grey,469990,Apple,86517,Планшеты,"12,9″ - 32,77 см",64 Гб,4 ГБ,,12 Mpx,7 Mpx
