Ноутбук Lenovo Legion Y7000 I781T1SGN (81T0001DRK),499990,Lenovo,Ноутбуки,Товар на витрине,467052,"15,6″ - 39,62 см",DOS,Intel® Core™ i7-9750H,2.6 ГГц,8 ГБ,HDD + SSD,HDD 1 Тб + SSD 128 Гб,GeForce GTX,1650 Super,4 ГБ
Ноутбук Lenovo IdeaPad 330-15IKB 81DC006URU,284890,Lenovo,Ноутбуки,Товар на витрине,470178,"15,6″ - 39,62 см",DOS,Intel® Core™ i5-7200U,2.5 ГГц,4 ГБ,HDD,500 Гб,Intel HD Graphics,620,SMA (выделяется из операт. памяти)
"Ноутбук Apple MacBook Air 13″ (2020) i3 1,1/8Gb/256GB SSD Silver (MWTK2)",553890,Apple,Ноутбуки,Есть в наличии,460039,"13,3″ - 33,78 см",MacOS X,Intel® Core™ i3-1000NG4,1.10 ГГц,8 ГБ,SSD,256 Гб,Iris Plus Graphics,,1.5 ГБ
"Ноутбук Apple MacBook Pro 16"" i9 2.3/16/1TB SSD Silver (MVVM2) ",1541990,Apple,Ноутбуки,Товар на витрине,421298,"16″ - 40,64 см",MacOS X,Intel® Core™ i9-9880H,2.3 ГГц,16 ГБ,SSD,1 ТБ,Radeon,5500,4 ГБ
Ноутбук Asus ROG Strix G512L I7165GN (90NR0351-M02900),549990,Asus,Ноутбуки,Есть в наличии,463039,"15,6″ - 39,62 см",DOS,Intel® Core™ i7-10750H,2.6 ГГц,16 ГБ,SSD,512 ГБ,GeForce GFX,1650 Ti,
Ноутбук HP Pavilion Gaming 15-dk1017ur 15C51EA,399990,HP,Ноутбуки,Товар на витрине,463062,"15,6″ - 39,62 см",DOS,Intel ® Core™ i5-10300H,2.5 ГГц,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ
"Ноутбук Apple MacBook Pro 16"" i9 2.3/16/1TB SSD Space Grey (MVVK2) ",1441390,Apple,Ноутбуки,Товар на витрине,421297,"16″ - 40,64 см",MacOS X,Intel® Core™ i9-9880H,2.3 ГГц,16 ГБ,SSD,1 ТБ,Radeon,5500,4 ГБ
"Ноутбук Apple MacBook Air 13″ (2020) i5 1,1/8Gb/512GB SSD Space Gray (MVH22)",720890,Apple,Ноутбуки,Есть в наличии,460041,"13,3″ - 33,78 см",MacOS X,Intel® Core™ i5-1030NG7,1.10 ГГц,8 ГБ,SSD,512 ГБ,Iris Plus Graphics,,1.5 ГБ
Ноутбук Acer Swift 3 SF314-58G (NX.HPKER.002),439990,Acer,Ноутбуки,Товар на витрине,462626,"14″ - 35,56 см",DOS,Intel® Core™ i7-10510U,1.8 ГГц,8 ГБ,SSD,256 Гб,GeForce MX,250,2 ГБ
"Ноутбук Apple MacBook Pro 16"" TB i7 2.6/16/512 SSD Space Grey(MVVJ2) ",1254790,Apple,Ноутбуки,Есть в наличии,421295,"16″ - 40,64 см",MacOS X,Intel® Core™ i7-9750H,2.6 ГГц,16 ГБ,SSD,512 ГБ,Radeon,5300,4 ГБ
Ноутбук Acer Aspire 3 A315-57G-382U I341TMN (NX.HZRER.007),239990,Acer,Ноутбуки,Товар на витрине,462662,"15,6″ - 39,62 см",DOS,Intel® Core™ i3 1005G1,1.2 ГГц,4 ГБ,HDD,1 ТБ,GeForce MX,230,2 ГБ
Ультрабук Lenovo IdeaPad 5 14IIL05 (81YH00KFRU),369990,Lenovo,Ноутбуки,Товар на витрине,463074,"14″ - 35,56 см",Windows 10,Intel® Core™ i5-10210U,1 ГГц,8 ГБ,SSD,512 ГБ,Intel UHD Graphics,620,
Ноутбук Apple MacBook Air 13″ i5 1.6/8Gb/256Gb SSD Gold (MREF2),632990,Apple,Ноутбуки,Товар на витрине,85848,"13,3″ - 33,78 см",MacOS X,Intel® Core™ i5-8210Y,1.6 ГГц,8 ГБ,SSD,256 Гб,Intel UHD Graphics,617,
Ноутбук Acer ConceptD CN515-51 (NX.C4JER.002),749990,Acer,Ноутбуки,Товар на витрине,415804,"15,6″ - 39,62 см",Windows 10,Core ™ i7-8705G,"3,10",16 ГБ,,512 ГБ,Radeon,,
"Ноутбук Apple MacBook Air 13″ (2020) i5 1,1/8Gb/512GB SSD Silver (MVH42)",720890,Apple,Ноутбуки,Есть в наличии,460042,"13,3″ - 33,78 см",MacOS X,Intel® Core™ i5-1030NG7,1.10 ГГц,8 ГБ,SSD,512 ГБ,Iris Plus Graphics,,1.5 ГБ
Ноутбук Apple MacBook Pro 13 2020 Space Grey (MWP42),998890,Apple,Ноутбуки,Товар на витрине,460439,"13,3″ - 33,78 см",MacOS X,Intel® Core™ i5-165UX,2.0 ГГц,16 ГБ,SSD,512 ГБ,Iris Plus Graphics,,1.5 ГБ
"Ноутбук Apple MacBook Pro 16"" i7 2.6/16/512 SSD Silver (MVVL2)",1320990,Apple,Ноутбуки,Есть в наличии,421296,"16″ - 40,64 см",MacOS X,Intel® Core™ i7-9750H,2.6 ГГц,16 ГБ,SSD,512 ГБ,Radeon,5300,4 ГБ
Ноутбук Asus Laptop E410M С41UW (90NB0Q12-M03320),179990,Asus,Ноутбуки,Есть в наличии,463049,"14″ - 35,56 см",Windows 10,Intel® Celeron® N4020,1.1 ГГц,4 ГБ,SSD,128 ГБ,Intel UHD Graphics,600,
Ноутбук HP Pavilion Gaming R585GN 16D68EA (15-ec1021ur),347290,HP,Ноутбуки,Товар на витрине,463060,"15,6″ - 39,62 см",DOS,AMD® Ryzen ™ 5 4600H,,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ
"Ноутбук Apple MacBook Air 13″ (2020) i5 1,1/8Gb/512GB SSD Gold (MVH52)",720890,Apple,Ноутбуки,Есть в наличии,460043,"13,3″ - 33,78 см",MacOS X,Intel® Core™ i5-1030NG7,1.10 ГГц,8 ГБ,SSD,512 ГБ,Iris Plus Graphics,,1.5 ГБ
Ноутбук Acer Predator Triton 300 PT315-52-5123 i5161TSGN (NH.Q7CER.004),659990,Acer,Ноутбуки,Товар на витрине,462677,"15,6″ - 39,62 см",DOS,Intel ® Core™ i5-10300H,2.5 ГГц,16 ГБ,SSD,1 ТБ,GeForce GTX,1660 Ti,6 ГБ
Ноутбук Acer Swift 5 SF514-54T-51UF (NX.HHYER.006),499990,Acer,Ноутбуки,Товар на витрине,462673,"14″ - 35,56 см",Windows 10,Intel® Core™ i5-1035G1,1 ГГц,16 ГБ,SSD,512 ГБ,Intel UHD Graphics,,
Ноутбук Acer ConceptD 9 CN917-71-76H5 I7322TSGW (NX.C4LER.005),1999990,Acer,Ноутбуки,Есть в наличии,462683,"17,3″ - 43,94 см",Windows 10,Intel® Core™ i7-9750H,,32 Гб,SSD,2 Гб,GeForce RTX,,8 ГБ
Ноутбук Lenovo IdeaPad Gaming 3 I781T1SGN (81Y400NTRK),419990,Lenovo,Ноутбуки,Есть в наличии,463064,"15,6″ - 39,62 см",DOS,Intel® Core™ i7-9750H,2.6 ГГц,8 ГБ,HDD + SSD,HDD 1 Тб + SSD 128 Гб,GeForce GTX,1650 Super,4 ГБ
Ноутбук Apple MacBook Pro 13 2020 Space Grey (MXK52),831890,Apple,Ноутбуки,Есть в наличии,460437,"13,3″ - 33,78 см",MacOS X,Intel® Core™ i5-85UX,1.4 ГГц,8 ГБ,SSD,512 ГБ,Iris Plus Graphics,645,1.5 ГБ
Ультрабук Lenovo IdeaPad 5 14IIL05 (81YH00KQRK),359590,Lenovo,Ноутбуки,Товар на витрине,463438,"14″ - 35,56 см",Windows 10,Intel® Core™ i5-10210U,1 ГГц,8 ГБ,SSD,512 ГБ,GeForce MX,,2 ГБ
Ноутбук Acer Predator Triton 300 PT315-52-58EU I5161TSGN (NH.Q7BER.004),699990,Acer,Ноутбуки,Товар на витрине,462676,"15,6″ - 39,62 см",DOS,Intel ® Core™ i5-10300H,2.5 ГГц,16 ГБ,SSD,1 ТБ,GeForce GTX,2060,6 ГБ
Ноутбук HP Spectre 13-AF009UR (2PT12EA),581790,HP,Ноутбуки,Товар на витрине,80426,"13,3″ - 33,78 см",Windows 10,Intel® Core™ i7-8550U,1.8 ГГц,16 ГБ,HDD,1 ТБ,Intel UHD Graphics,620,SMA (выделяется из операт. памяти)
Ноутбук Apple MacBook Pro 13 2020 Silver (MXK72),842990,Apple,Ноутбуки,Есть в наличии,460438,"13,3″ - 33,78 см",MacOS X,,1.4 ГГц,8 ГБ,SSD,512 ГБ,Iris Plus Graphics,645,1.5 ГБ
Ноутбук Asus ZenBook 14 UM425I R582SUW (90NB0RT1-M01140),349990,Asus,Ноутбуки,Есть в наличии,474550,"14″ - 35,56 см",DOS,AMD Ryzen™ 5 4500U,2.3 ГГц,8 ГБ,SSD,256 Гб,Radeon RX,,
Ноутбук Acer ConceptD 7 CN715-71P-70XB (NX.C4PER.001),1999890,Acer,Ноутбуки,Есть в наличии,462665,"15,6″ - 39,62 см",Windows 10,Intel® Core™ i7-9750H,2.6 ГГц,32 Гб,SSD,2 Гб,Quadro,5000,16 ГБ
Ноутбук Acer Swift 3 SF314-57-34H1 I382UW (NX.HJ5ER.001),299890,Acer,Ноутбуки,Есть в наличии,462669,"14″ - 35,56 см",Windows 10,Intel® Core™ i3 1005G1,1.2 ГГц,8 ГБ,SSD,256 Гб,Intel UHD Graphics,,
Ноутбук Acer Predator Triton 500 PT515-52-73Q8 (NH.Q6YER.005),999990,Acer,Ноутбуки,Товар на витрине,462679,"15,6″ - 39,62 см",DOS,Intel® Core™ i7-10750H,2.6 ГГц,32 Гб,SSD,2 Гб,GeForce RTX,2070,8 ГБ
Ноутбук Lenovo Yoga C940 81TE001VRU,754990,Lenovo,Ноутбуки,Товар на витрине,456859,"15,6″ - 39,62 см",Windows 10 Home,Intel® Core™ i7-9750H,2.6 ГГц,16 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ
Ноутбук Apple MacBook Pro 13 2020 Space Grey (MWP52),1109890,Apple,Ноутбуки,Есть в наличии,460441,"13,3″ - 33,78 см",MacOS X,Intel® Core™ i5-161TSUX,2.0 ГГц,16 ГБ,SSD,1 ТБ,Iris Plus Graphics,,1.5 ГБ
Ноутбук Asus TUF Gaming FX505D R785SGN (90NR02D1-M12320),349890,Asus,Ноутбуки,Товар на витрине,474551,"15,6″ - 39,62 см",DOS,AMD Ryzen 7 3750H,2.3 ГГц,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,2 ГБ
"Ультрабук Apple Macbook Pro 13″ Touch Bar i5 2,4/8/512SSD Space Grey (MV972)",999990,Apple,Ноутбуки,Есть в наличии,306404,"13,3″ - 33,78 см",MacOS X,Intel® Core™ i5-8279U,2.4 ГГц,8 ГБ,SSD,512 ГБ,Iris Plus Graphics,655,
Ноутбук Acer ConceptD 5 CN515-71-79QG (NX.C4VER.004),749990,Acer,Ноутбуки,Товар на витрине,462666,"15,6″ - 39,62 см",Windows 10,Intel® Core™ i7-9750H,2.6 ГГц,16 ГБ,SSD,1 ТБ,GeForce RTX,1660Ti,8 ГБ
Ноутбук Asus TUF Gaming FA506I R585GN (90NR03M2-M04110),449990,Asus,Ноутбуки,Есть в наличии,463051,"15,6″ - 39,62 см",DOS,AMD Ryzen™ 7 4800H,2.9 ГГц,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Ti,4 ГБ
Ноутбук Apple MacBook Pro 13 2020 Silver (MXK62),730990,Apple,Ноутбуки,Есть в наличии,460436,"13,3″ - 33,78 см",MacOS X,Intel® Core™ i5-82UX,1.4 ГГц,8 ГБ,SSD,256 Гб,Iris Plus Graphics,645,1.5 ГБ
Ноутбук Acer Predator Helios 300 PH317-54-76VC (NH.Q9WER.001),979990,Acer,Ноутбуки,Товар на витрине,462688,"15,6″ - 39,62 см",DOS,Intel® Core™ i7-10750H,2.6 ГГц,32 Гб,SSD,2 Гб,GeForce RTX,2070,8 ГБ
Ноутбук Asus Vivobook S403F (90NB0LP2-M06800),447190,Asus,Ноутбуки,Есть в наличии,456811,"15,6″ - 39,62 см",Windows 10 Home,Intel® Core™ i7-10510U,1.8 ГГц,16 ГБ,SSD,,Intel® UHD Graphics,,
Ноутбук Apple MacBook Pro 13 2020 Silver (MWP82),1109890,Apple,Ноутбуки,Есть в наличии,460442,"13,3″ - 33,78 см",MacOS X,Intel® Core™ i5-161TSUX,2.0 ГГц,16 ГБ,SSD,1 ТБ,Iris Plus Graphics,,1.5 ГБ
Ноутбук Apple MacBook Pro 13 2020 Silver (MWP72),1011990,Apple,Ноутбуки,Есть в наличии,460440,"13,3″ - 33,78 см",MacOS X,Intel® Core™ i5-165UX,2.0 ГГц,16 ГБ,SSD,512 ГБ,Iris Plus Graphics,,1.5 ГБ
Ноутбук ASUS E Gaming X571G (90NB0NL1-M11970),399990,Asus,Ноутбуки,Есть в наличии,463042,"15,6″ - 39,62 см",DOS,Intel® Core™ i5-9300H,2.3 ГГц,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ
Ноутбук Acer Swift 7 SF714-52T-55C6 (NX.H98ER.00A),745990,Acer,Ноутбуки,Есть в наличии,462687,"14″ - 35,56 см",Windows 10,Intel® Core™ i5-8200Y,1.3 ГГц,8 ГБ,SSD,512 ГБ,Intel UHD Graphics,615,
Ноутбук Lenovo IdeaPad Gaming 3 I581T1GN (81Y400NWRK),369990,Lenovo,Ноутбуки,Есть в наличии,463068,"15,6″ - 39,62 см",DOS,Intel ® Core™ i5-10300H,2.5 ГГц,8 ГБ,HDD + SSD,HDD 1 Тб + SSD 128 Гб,GeForce GTX,1650 Super,4 ГБ
Ноутбук Asus TUF Gaming FX705D (90NR02B1-M03930),489990,Asus,Ноутбуки,Есть в наличии,474553,"17,3″ - 43,94 см",DOS,AMD Ryzen 5 3550H,2.1 ГГц,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,2 ГБ
Ноутбук Lenovo IdeaPad 5 15IIL05 I342UW (81YK00PKRK),279990,Lenovo,Ноутбуки,Есть в наличии,463073,"15,6″ - 39,62 см",Windows 10,Intel® Core™ i3-10110U,1.2 ГГц,4 ГБ,SSD,256 Гб,Intel UHD Graphics,620,
Ноутбук Asus TUF Gaming FX505GT (90NR02M2-M03250),419990,Asus,Ноутбуки,Есть в наличии,474552,"15,6″ - 39,62 см",DOS,Intel® Core™ i5-9300H,2.4 ГГц,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,2 ГБ
Ноутбук Lenovo IdeaPad Gaming 3 I781T1SGN (81Y400NVRK),439990,Lenovo,Ноутбуки,Есть в наличии,463069,"15,6″ - 39,62 см",DOS,Intel® Core™ i7-9750H,2.6 ГГц,8 ГБ,HDD + SSD,HDD 1 Тб + SSD 128 Гб,GeForce GTX,1650 Ti,4 ГБ
"Ноутбук Acer Nitro 5, AN515-54-5292 (NH.Q59ER.02P)",399990,Acer,Ноутбуки,Нет в наличии,393476,"15,6″ - 39,62 см",Linux,Intel® Core™ i5-9300H,2.4 ГГц,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ
Ноутбук Asus Zenbook UM431DA-AM020T R785UW (90NB0PB3-M01810),399990,Asus,Ноутбуки,Нет в наличии,442639,"14″ - 35,56 см",Windows 10,AMD Ryzen 7 3700U,2.3 ГГц,8 ГБ,SSD,512 ГБ,Radeon,,
Ноутбук Apple MacBook Air 13″ i5 1.8/8Gb/128SSD Silver (MQD32),389890,Apple,Ноутбуки,Нет в наличии,75179,"13,3″ - 33,78 см",macOS Sierra,Intel® Core™ i5-5350U,1.8 ГГц,8 ГБ,SSD,128 ГБ,Intel HD Graphics,6000,SMA (выделяется из операт. памяти)
Ноутбук Acer Aspire 3 A315-54K (NX.HEEER.01F),199990,Acer,Ноутбуки,Нет в наличии,427021,"15,6″ - 39,62 см",Linux,Intel® Core™ i3-6006U,2.0 ГГц,4 ГБ,HDD,1 ТБ,Intel HD Graphics,520,SMA (выделяется из операт. памяти)
Ноутбук Asus Vivobook S15 S533FL-BQ019T (90NB0LX3-M00720),369990,Asus,Ноутбуки,Нет в наличии,442640,"15,6″ - 39,62 см",Windows 10,Intel® Core™ i5-10210U,1.6 ГГц,8 ГБ,SSD,512 ГБ,GeForce MX,250,2 ГБ
Ноутбук Acer Nitro 5 AN515-42 (NH.Q3RER.003),299990,Acer,Ноутбуки,Нет в наличии,82510,"15,6″ - 39,62 см",Linux,AMD Ryzen 5 2500U,2.0 ГГц,8 ГБ,HDD,1 ТБ,Radeon RX,560X,4 ГБ
Ноутбук Acer Nitro 5 AN515-55-50CH (NH.Q7MER.005),369690,Acer,Ноутбуки,Нет в наличии,462684,"15,6″ - 39,62 см",DOS,Intel ® Core™ i5-10300H,2.5 ГГц,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ
Ноутбук HP Gaming Pavilion 15-ec0031ur (8RU06EA),329890,HP,Ноутбуки,Нет в наличии,442590,"15,6″ - 39,62 см",DOS,AMD Ryzen 5 3550H,2.1 ГГц,8 ГБ,HDD + SSD,HDD 1 Тб + SSD 256 Гб,GeForce GTX,1650 Super,4 ГБ
"Ноутбук Acer Spin 3, SP314-52-36E8 (NX.H60ER.007)",199990,Acer,Ноутбуки,Нет в наличии,393482,"14″ - 35,56 см",Windows 10 Home,Intel® Core™ i3-8145U,2.1 ГГц,4 ГБ,SSD,128 ГБ,Intel UHD Graphics,620,
Ноутбук Acer Aspire 3 A315-34 C45UW (NX.HE3ER.001),169990,Acer,Ноутбуки,Нет в наличии,452815,"15,6″ - 39,62 см",Windows 10,Intel® Celeron® N4000,1.10 ГГц,4 ГБ,HDD,500 Гб,Intel HD Graphics,SMA (выделяется из операт. памяти),
Ноутбук ASUS TUF Gaming FX505DT-AL097 (R585GN),319990,Asus,Ноутбуки,Нет в наличии,442641,"15,6″ - 39,62 см",DOS,AMD Ryzen 5 3550H,2.1 ГГц,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ
Ноутбук ASUS TUF Gaming FX506 R585GW (90NR03M2-M04310),349990,Asus,Ноутбуки,Нет в наличии,460228,"15,6″ - 39,62 см",DOS,AMD® Ryzen ™ 5 4600H,,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ
Ноутбук Asus Laptop X509UJ-EJ037T Slate Gray (90NB0N72-M00430),259990,Asus,Ноутбуки,Нет в наличии,392649,"15,6″ - 39,62 см",Windows 10,‎Intel® Core™ i3-7020U,2.3 ГГц,4 ГБ,HDD,1 ТБ,GeForce MX,230,2 ГБ
Ноутбук Acer Nitro 5 AN515-43 R5КТ (NH.Q6ZER.00D),369990,Acer,Ноутбуки,Нет в наличии,452825,"15,6″ - 39,62 см",DOS,AMD Ryzen 5 3550H,2.1 ГГц,16 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ
Ноутбук Lenovo Legion Y540 81SY00N7RK,399990,Lenovo,Ноутбуки,Нет в наличии,456855,"15,6″ - 39,62 см",DOS,Intel® Core™ i5-9300H,2.4 ГГц,8 ГБ,HDD + SSD,HDD 1 Тб + SSD 128 Гб,GeForce GTX,1650 Super,4 ГБ
Ноутбук Acer Nitro 5 AN515-43 R18U (NH.Q6ZER.00C),349990,Acer,Ноутбуки,Нет в наличии,452824,"15,6″ - 39,62 см",DOS,AMD Ryzen 5 3550H,2.1 ГГц,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ
Ноутбук Acer Aspire 3 A315-34 C45UN (NX.HE3ER.003),149990,Acer,Ноутбуки,Нет в наличии,452814,"15,6″ - 39,62 см",DOS,Intel® Celeron® N4000,1.10 ГГц,4 ГБ,HDD,500 Гб,Intel UHD Graphics,600,SMA (выделяется из операт. памяти)
Ноутбук Asus ROG Strix G G531GT-AL007 (90NR01L3-M05960),429990,Asus,Ноутбуки,Нет в наличии,392640,"15,6″ - 39,62 см",DOS,Intel® Core™ i5-9300H,2.4 ГГц,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ
Ноутбук Acer Nitro 5 AN515-54 i5165GN (NH.Q59ER.02Y),449990,Acer,Ноутбуки,Нет в наличии,459774,"15,6″ - 39,62 см",DOS,Intel® Core™ i5-9300H,2.4 ГГц,16 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ
Ноутбук Asus Vivobook X403FA-EB021T Silver Blue & Sand Blast (90NB0LP2-M02040),275690,Asus,Ноутбуки,Нет в наличии,392644,"14″ - 35,56 см",Windows 10,Intel® Core™ i5-8265U,1.6 ГГц,8 ГБ,SSD,512 ГБ,Intel UHD Graphics,,
"Ноутбук Acer Swift 1, SF114-32, (NX.GXUER.007)",149990,Acer,Ноутбуки,Нет в наличии,302424,"14″ - 35,56 см",Windows 10 Home,Intel® Celeron® N4000,1.10 ГГц,4 ГБ,SSD,128 ГБ,Intel UHD Graphics,600,
Ноутбук Asus VivoBook 15 X512JA (90NB0QU6-M02240),329990,Asus,Ноутбуки,Нет в наличии,459922,"15,6″ - 39,62 см",Windows 10,Intel® Core™ i5-1035G1,1 ГГц,8 ГБ,SSD,512 ГБ,Intel UHD Graphics,,
Ноутбук Acer Aspire 3 A315-54K NX.HEEER.01G,209990,Acer,Ноутбуки,Нет в наличии,427025,"15,6″ - 39,62 см",Windows 10,Intel® Core™ i3-6006U,2.0 ГГц,4 ГБ,HDD,1 ТБ,Intel HD Graphics,250,SMA (выделяется из операт. памяти)
Ноутбук Acer Predator Helios 500 PH517-61 Obsidian Black (NH.Q3GER.003),499990,Acer,Ноутбуки,Нет в наличии,421575,"17,3″ - 43,94 см",Linux,AMD Ryzen 5 2600,3.9 ГГц,16 ГБ,HDD + SSD,HDD 1 ТБ + SSD 512 ГБ,Radeon™ RX Vega 56,,8 ГБ
Ноутбук Asus Laptop X507MA-EJ305T (90NB0HL1-M05420),149990,Asus,Ноутбуки,Нет в наличии,392648,"15,6″ - 39,62 см",Windows 10,Intel® Pentium® N5000,1.10 ГГц,4 ГБ,HDD,500 Гб,Intel UHD Graphics,605,SMA (выделяется из операт. памяти)
Ноутбук Acer Extensa EX215-21-47NN (NX.EFUER.001),109990,Acer,Ноутбуки,Нет в наличии,393480,"15,6″ - 39,62 см",Linux,AMD A4-9120e,1.8 ГГц,4 ГБ,HDD,500 Гб,Radeon R3,,SMA (выделяется из операт. памяти)
Ноутбук Acer Swift 3 SF314-57G-59DK I585MW (NX.HUGER.002),389690,Acer,Ноутбуки,Нет в наличии,462672,"14″ - 35,56 см",Windows 10,Intel® Core™ i5-1035G1,1 ГГц,8 ГБ,SSD,512 ГБ,GeForce MX,,2 ГБ
Ноутбук Acer Nitro 5 AN515-43 NH.Q6NER.003,269990,Acer,Ноутбуки,Нет в наличии,427028,,DOS,AMD Ryzen 5 3550H,2.1 ГГц,16 ГБ,SSD,512 ГБ,GeForce GTX,1050 Ti,4 ГБ
"Ноутбук Apple MacBook Pro 13"" i5 2.3/8/128Gb Space Gray (MPXQ2)",499990,Apple,Ноутбуки,Нет в наличии,69502,"13″ - 33,02 см",MacOS X,Intel® Core™ i5-5257U,2.3 ГГц,8 ГБ,HDD,128 ГБ,Iris Graphics,640,SMA (выделяется из операт. памяти)
Ноутбук Lenovo Legion Y540-15IRH-PG0 Black 81SY00ERRK,339990,Lenovo,Ноутбуки,Нет в наличии,392611,"15,6″ - 39,62 см",DOS,Intel® Core™ i5-9300H,2.4 ГГц,8 ГБ,SSD,512 ГБ,GeForce GTX,1650 Super,4 ГБ
Ноутбук Acer Aspire 3 A315-55 (NX.HEHER.01G),259990,Acer,Ноутбуки,Нет в наличии,427033,"15,6″ - 39,62 см",Windows 10,‎Intel® Core™ i3-7020U,2.3 ГГц,4 ГБ,HDD,1 ТБ,GeForce MX,130,2 ГБ
Ноутбук Acer Extensa 15 EX215-51K 50BY (NX.EFPER.019),299990,Acer,Ноутбуки,Нет в наличии,452822,"15,6″ - 39,62 см",Windows 10,Intel® Core™ i5-6300U,2.4 ГГц,8 ГБ,SSD,512 ГБ,,,
Ноутбук Asus Laptop X507M 90NB0HL1-M05410,169990,Asus,Ноутбуки,Нет в наличии,456810,"14″ - 35,56 см",Windows 10 Home,Intel® Celeron® N4000,1.10 ГГц,4 ГБ,HDD,500 Гб,Intel UHD Graphics,,
Ноутбук Asus Laptop 15 X509JB-EJ060T (90NB0QD1-M01540),269990,Asus,Ноутбуки,Нет в наличии,442637,"15,6″ - 39,62 см",Windows 10,Intel® Core™ i3 1005G1,1.2 ГГц,4 ГБ,HDD,1 ТБ,GeForce MX,110,2 ГБ
Ноутбук Lenovo Ideapad S145 (81N300DXRK),119990,Lenovo,Ноутбуки,Нет в наличии,456850,"15,6″ - 39,62 см",DOS,AMD A6-9225,2.6 ГГц,4 ГБ,HDD,500 Гб,Radeon R4,UMA,
